"Path","Model","SourceStem","Case","Feature","PlanPath","ExecutedAt","BaseUrl","OverallStatus","TotalMethods","PassMethods","FailMethods","BlockedMethods","TotalSteps","ExecutedSteps","PassedSteps","FailedSteps","BlockedSteps","FailedTools","LocatorFailures","Notes"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_1/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_10/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:17","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_2/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_3/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:18","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_4/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_5/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_6/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_7/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:19","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_8/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","ログイン","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-login_9/case-001/LoginTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","28","27","24","3","1","browser_verify_text_visible","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_1/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_10/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_2/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:20","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_3/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_4/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_5/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_6\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_6","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_6/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_7\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_7","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_7/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_8\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_8","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_8/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-rbac_9\case-001\AuditLogTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-rbac_9","case-001","監査ログ","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-rbac_9/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:33:21","http://localhost:8080","fail","3","0","3","0","25","18","15","3","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_1\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_1","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_1/case-001/TransferTest.playwright-plan.json","03/12/2026 01:34:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_10\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_10","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_10/case-001/TransferTest.playwright-plan.json","03/12/2026 01:33:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_2\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_2","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_2/case-001/TransferTest.playwright-plan.json","03/12/2026 01:35:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_3\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_3","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_3/case-001/TransferTest.playwright-plan.json","03/12/2026 01:36:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_4\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_4","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_4/case-001/TransferTest.playwright-plan.json","03/12/2026 01:37:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_5\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_5","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_5/case-001/TransferTest.playwright-plan.json","03/12/2026 01:38:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_6\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_6","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_6/case-001/TransferTest.playwright-plan.json","03/12/2026 01:39:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_7\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_7","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_7/case-001/TransferTest.playwright-plan.json","03/12/2026 01:40:41","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_8\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_8","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_8/case-001/TransferTest.playwright-plan.json","03/12/2026 01:41:42","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\command-r7b-12-2024\evaluation-results-cohere-transfer_9\case-001\TransferTest.playwright-result.json","command-r7b-12-2024","evaluation-results-cohere-transfer_9","case-001","振込","reports/playwright-plans/command-r7b-12-2024/evaluation-results-cohere-transfer_9/case-001/TransferTest.playwright-plan.json","03/12/2026 01:42:42","http://localhost:8080","fail","2","0","2","0","15","8","6","2","7","browser_fill_form","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_1\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_1","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_1/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:22","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_10\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_10","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_10/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:22","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_2\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_2","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_2/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:22","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_3\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_3","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_3/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:22","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_4\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_4","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_4/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_5\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_5","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_5/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_6\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_6","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_6/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_7\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_7","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_7/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_8\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_8","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_8/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-login_9\case-001\SecureBankLoginTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-login_9","case-001","ログイン","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-login_9/case-001/SecureBankLoginTest.playwright-plan.json","03/12/2026 01:43:23","http://localhost:8080","fail","3","0","3","0","30","17","14","3","13","browser_click","#submit_button",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-rbac_1\case-001\AuditLogTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-rbac_1","case-001","監査ログ","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-rbac_1/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:43:24","http://localhost:8080","fail","3","0","3","0","15","15","12","3","0","browser_click","#submit_button_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-rbac_10\case-001\AuditLogTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-rbac_10","case-001","監査ログ","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-rbac_10/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:43:24","http://localhost:8080","fail","3","0","3","0","15","15","12","3","0","browser_click","#submit_button_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-rbac_2\case-001\AuditLogTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-rbac_2","case-001","監査ログ","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-rbac_2/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:43:24","http://localhost:8080","fail","3","0","3","0","15","15","12","3","0","browser_click","#submit_button_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-rbac_3\case-001\AuditLogTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-rbac_3","case-001","監査ログ","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-rbac_3/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:43:24","http://localhost:8080","fail","3","0","3","0","15","15","12","3","0","browser_click","#submit_button_text",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-results\gemma-3n-e4b-it\evaluation-results-gemma-rbac_4\case-001\AuditLogTest.playwright-result.json","gemma-3n-e4b-it","evaluation-results-gemma-rbac_4","case-001","監査ログ","reports/playwright-plans/gemma-3n-e4b-it/evaluation-results-gemma-rbac_4/case-001/AuditLogTest.playwright-plan.json","03/12/2026 01:43:24","http://localhost:8080","fail","3","0","3","0","15","15","12","3","0","browser_click","#submit_button_text",""
