"Path","Model","SourceStem","Case","FileName","PlanPath","TestMethodCount","TotalStepCount","Generated","Error"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.java","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","LoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\LoginTest.playwright-plan.json","3","28","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_6\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_6","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_6\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_7\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_7","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_7\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_8\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_8","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_8\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_9\case-001\AuditLogTest.java","command-r7b-12-2024","evaluation-results-cohere-rbac_9","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-rbac_9\case-001\AuditLogTest.playwright-plan.json","3","25","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_1\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_1","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_1\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_10\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_10","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_10\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_2\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_2","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_2\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_3\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_3","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_3\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_4\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_4","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_4\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_5\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_5","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_5\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_6\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_6","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_6\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_7\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_7","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_7\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_8\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_8","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_8\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_9\case-001\TransferTest.java","command-r7b-12-2024","evaluation-results-cohere-transfer_9","case-001","TransferTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\command-r7b-12-2024\evaluation-results-cohere-transfer_9\case-001\TransferTest.playwright-plan.json","2","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_1\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_1","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_1\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_10\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_10","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_10\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_2\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_2","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_2\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_3\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_3","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_3\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_4\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_4","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_4\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_5\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_5","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_5\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_6\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_6","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_6\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_7\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_7","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_7\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_8\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_8","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_8\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_9\case-001\SecureBankLoginTest.java","gemma-3n-e4b-it","evaluation-results-gemma-login_9","case-001","SecureBankLoginTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-login_9\case-001\SecureBankLoginTest.playwright-plan.json","3","30","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_1\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_1","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_1\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_10\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_10","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_10\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_2\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_2","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_2\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_3\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_3","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_3\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_4\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_4","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_4\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_5\case-001\AuditLogTest.java","gemma-3n-e4b-it","evaluation-results-gemma-rbac_5","case-001","AuditLogTest.java","C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\reports\playwright-plans\gemma-3n-e4b-it\evaluation-results-gemma-rbac_5\case-001\AuditLogTest.playwright-plan.json","3","15","True",""
