"Path","Model","SourceStem","Case","Valid","Mode","WarningCount","MissingSelfCheck","MissingSectionB","Warnings","Error"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_1\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_1","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_10\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_10","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_2\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_2","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_3\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_3","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_4\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_4","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_5\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_5","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_6\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_6","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_7\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_7","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_8\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_8","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-login_9\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-login_9","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_1\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_1","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_10\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_10","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_2\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_2","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_3\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_3","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_4\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_4","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_5\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_5","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_6\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_6","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_7\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_7","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_8\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_8","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-rbac_9\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-rbac_9","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_1\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_1","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_10\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_10","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_2\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_2","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_3\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_3","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_4\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_4","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_5\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_5","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_6\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_6","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_7\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_7","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_8\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_8","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\command-r7b-12-2024\evaluation-results-cohere-transfer_9\case-001\output.txt","command-r7b-12-2024","evaluation-results-cohere-transfer_9","case-001","False","","0","False","False","","ERROR Missing required Java snippets: WebDriverWait"
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_1\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_1","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_10\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_10","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_2\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_2","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_3\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_3","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_4\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_4","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_5\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_5","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_6\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_6","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_7\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_7","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_8\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_8","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-login_9\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-login_9","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_1\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_1","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_10\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_10","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_2\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_2","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_3\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_3","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_4\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_4","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_5\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_5","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_6\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_6","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_7\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_7","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_8\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_8","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-rbac_9\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-rbac_9","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_1\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_1","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_10\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_10","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_2\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_2","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_3\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_3","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_4\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_4","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_5\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_5","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_6\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_6","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_7\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_7","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_8\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_8","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\gemma-3n-e4b-it\evaluation-results-gemma-transfer_9\case-001\output.txt","gemma-3n-e4b-it","evaluation-results-gemma-transfer_9","case-001","True","current","0","False","False","",""
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_1\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_1","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_10\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_10","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_2\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_2","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_3\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_3","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_4\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_4","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_5\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_5","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_6\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_6","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_7\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_7","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_8\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_8","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-login_9\case-001\output.txt","glm-4.5-air","evaluation-results-glm-login_9","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_1\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_1","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_10\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_10","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_2\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_2","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_3\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_3","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_4\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_4","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_5\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_5","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_6\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_6","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_7\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_7","case-001","False","","0","False","False","","ERROR Missing code fence."
"C:\Users\juria.koga\Documents\Github\LLM-test-evaluation\results\extracted\glm-4.5-air\evaluation-results-glm-rbac_8\case-001\output.txt","glm-4.5-air","evaluation-results-glm-rbac_8","case-001","False","","0","False","False","","ERROR Missing code fence."
